Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,CALL 2m VHF,145.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,25W,Internationaal oproepkanaal 2m/VHF,,,,
1,CALL 70cmUHF,433.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,25W,Internationaal oproepkanaal 70cm/UHF,,,,
2,DARES R1 VHF,145.250000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,25W,"DARES regio's 1, 14, 17, 25 op 2m/VHF",,,,
3,DARES R2 VHF,145.400000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,25W,"DARES regio's 2, 15, 20 op 2m/VHF",,,,
4,DARES R3 VHF,145.350000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,25W,"DARES regio's 3, 10, 16, 21 op 2m/VHF",,,,
5,DARES R4 VHF,145.325000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,25W,"DARES regio's 4, 9, 22 op 2m/VHF",,,,
6,DARES R5 VHF,145.375000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,25W,"DARES regio's 5, 8, 11 op 2m/VHF",,,,
7,DARES R6 VHF,145.275000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,25W,"DARES regio's 6, 13, 18, 23 op 2m/VHF",,,,
8,DARES R7 VHF,145.225000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,25W,"DARES regio's 7, 12, 19, 24 op 2m/VHF",,,,
9,DARES R1 UHF,433.250000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,25W,"DARES regio's 1, 14, 17, 25 op 70cm/UHF",,,,
10,DARES R2 UHF,433.400000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,25W,"DARES regio's 2, 15, 20 op 70cm/UHF",,,,
11,DARES R3 UHF,433.350000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,25W,"DARES regio's 3, 10, 16, 21 op 70cm/UHF",,,,
12,DARES R4 UHF,433.325000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,25W,"DARES regio's 4, 9, 22 op 70cm/UHF",,,,
13,DARES R5 UHF,433.375000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,25W,"DARES regio's 5, 8, 11 op 70cm/UHF",,,,
14,DARES R6 UHF,433.275000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,25W,"DARES regio's 6, 13, 18, 23 op 70cm/UHF",,,,
15,DARES R7 UHF,433.225000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,25W,"DARES regio's 7, 12, 19, 24 op 70cm/UHF",,,,
16,DARES G1 VHF,145.425000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,25W,DARES groep 1 op 2m/VHF,,,,
17,DARES G2 VHF,145.450000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,25W,DARES groep 2 op 2m/VHF,,,,
18,DARES G3 VHF,145.475000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,25W,DARES groep 3 op 2m/VHF,,,,
19,DARES G4 VHF,145.525000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,25W,DARES groep 4 op 2m/VHF,,,,
20,DARES G5 VHF,145.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,25W,DARES groep 5 op 2m/VHF,,,,
21,DARES G1 UHF,433.425000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,25W,DARES groep 1 op 70cm/UHF,,,,
22,DARES G2 UHF,433.450000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,25W,DARES groep 2 op 70cm/UHF,,,,
23,DARES G3 UHF,433.475000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,25W,DARES groep 3 op 70cm/UHF,,,,
24,DARES G4 UHF,433.525000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,25W,DARES groep 4 op 70cm/UHF,,,,
25,DARES G5 UHF,433.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,25W,DARES groep 5 op 70cm/UHF,,,,
26,PI1DAR DARES,438.550000,-,7.600000,TSQL,88.5,85.4,023,NN,023,Tone->Tone,NFM,25.00,,25W,PI1DAR DARES repeater NL,,,,
