Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,Mode,TStep,Power,Comment
0,PI3ALK,145.600000,-,0.600000,Tone,88.5,88.5,NFM,12.50,5.0W,"PI3ALK near Alkmaar"
1,PI3SRT,145.600000,-,0.600000,Tone,71.9,71.9,NFM,12.50,5.0W,"PI3SRT near Venlo"
2,PI3ZVL,145.600000,-,0.600000,Tone,88.5,88.5,NFM,12.50,5.0W,"PI3ZVL near Westdorpe"
3,PI3NOG,145.612500,-,0.600000,TSQL,82.5,82.5,NFM,12.50,5.0W,"PI3NOG near Appingedam"
4,PI2AMF,145.625000,-,0.600000,,88.5,88.5,NFM,12.50,5.0W,"PI2AMF near Amersfoort"
5,PI3BOZ,145.625000,-,0.600000,TSQL,88.5,88.5,NFM,12.50,5.0W,"PI3BOZ near Bergen op Zoom"
6,PI3ZUT,145.637500,-,0.600000,Tone,77.0,77.0,NFM,12.50,5.0W,"PI3ZUT near Eefde"
7,PI2BRD,145.650000,-,0.600000,Tone,71.9,71.9,NFM,12.50,5.0W,"PI2BRD near Breda"
8,PI3MEP,145.650000,-,0.600000,Tone,82.5,82.5,NFM,12.50,5.0W,"PI3MEP near Zwolle"
9,PI3NOV,145.675000,-,0.600000,Tone,77.0,77.0,NFM,12.50,5.0W,"PI3NOV near 't Harde"
10,PI3RTD,145.675000,-,0.600000,TSQL,88.5,88.5,NFM,12.50,5.0W,"PI3RTD near Rotterdam"
11,PI3DTC,145.700000,-,0.600000,Tone,77.0,77.0,NFM,12.50,5.0W,"PI3DTC near Doetinchem"
12,PI3EHV,145.700000,-,0.600000,TSQL,71.9,71.9,NFM,12.50,5.0W,"PI3EHV near Eindhoven"
13,PI3HVN,145.700000,-,0.600000,TSQL,82.5,82.5,NFM,12.50,5.0W,"PI3HVN near Heerenveen"
14,PI3ZAZ,145.712500,-,0.600000,Tone,88.5,88.5,NFM,12.50,5.0W,"PI3ZAZ near Wormerveer"
15,PI3APD,145.725000,-,0.600000,Tone,77.0,77.0,NFM,12.50,5.0W,"PI3APD near Apeldoorn"
16,PI3GOE,145.775000,-,0.600000,TSQL,88.5,88.5,NFM,12.50,5.0W,"PI3GOE near Goes"
17,PI3ZLB,145.725000,-,0.600000,TSQL,71.9,71.9,NFM,12.50,5.0W,"PI3ZLB near Hulsberg"
18,PI3GRN,145.750000,-,0.600000,TSQL,82.5,82.5,NFM,12.50,5.0W,"PI3GRN near Groningen"
19,PI3RAZ,145.750000,-,0.600000,TSQL,88.5,88.5,NFM,12.50,5.0W,"PI3RAZ near Zoetermeer"
20,PI2NMG,145.750000,-,0.600000,,88.5,88.5,NFM,12.50,5.0W,"PI2NMG near Nijmegen"
21,PI3ASD,145.787500,-,0.600000,TSQL,110.9,110.9,NFM,12.50,5.0W,"PI3ASD near Amsterdam"
22,PI3VLI,438.437500,-,7.600000,TSQL,88.5,88.5,NFM,12.50,5.0W,"PI3VLI near Vlissingen"
23,PI2GOR,430.012500,+,1.600000,TSQL,88.5,88.5,NFM,12.50,5.0W,"PI2GOR near Gorinchem"
24,PI3HVN,430.025000,+,1.600000,TSQL,82.5,82.5,NFM,12.50,5.0W,"PI3HVN near Heerenveen"
25,PI2ANH,430.050000,+,1.600000,TSQL,77.0,77.0,NFM,12.50,5.0W,"PI2ANH near Oosterbeek"
26,PI2ASN,430.050000,+,1.600000,,88.5,88.5,NFM,12.50,5.0W,"PI2ASN near Assen"
27,PI2ZST,430.075000,+,1.600000,,88.5,88.5,NFM,12.50,5.0W,"PI2ZST near Zeist"
28,PI1DFT,430.087500,+,1.600000,TSQL,88.5,88.5,NFM,12.50,5.0W,"PI1DFT near Delft"
29,PI2EHV,430.100000,+,1.600000,TSQL,71.9,71.9,NFM,12.50,5.0W,"PI2EHV near Eindhoven"
30,PI2FRL,430.100000,+,1.600000,,88.5,88.5,NFM,12.50,5.0W,"PI2FRL near Leeuwarden"
31,PI2APD,430.150000,+,1.600000,,88.5,88.5,NFM,12.50,5.0W,"PI2APD near Apeldoorn"
32,PI2KMP,430.175000,+,1.600000,Tone,77.0,77.0,NFM,12.50,5.0W,"PI2KMP near Kampen"
33,PI1NLB,430.200000,+,1.600000,TSQL,71.9,71.9,NFM,12.50,5.0W,"PI1NLB near Heijen"
34,PI2BOZ,438.275000,-,7.600000,TSQL,88.5,88.5,NFM,12.50,5.0W,"PI2BOZ near Bergen op Zoom"
35,PI2AMF,430.250000,+,1.600000,TSQL,77.0,77.0,NFM,12.50,5.0W,"PI2AMF near Amersfoort"
36,PI2HLM,430.250000,+,1.600000,Tone,88.5,88.5,NFM,12.50,5.0W,"PI2HLM near Haarlem"
37,PI2SWK,430.225000,+,1.600000,TSQL,88.5,88.5,NFM,12.50,5.0W,"PI2SWK near Gouda"
