Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,Mode,TStep,Power
0,ARISS ITU-1,145.800000,split,145.200000,,67.0,67.0,FM,5.00,5.0W
1,ARISS ITU-23,145.800000,split,144.490000,,67.0,67.0,FM,5.00,5.0W
2,SAT ISS +10,437.810000,split,145.990000,Tone,67.0,67.0,FM,5.00,5.0W
3,SAT ISS +05,437.805000,split,145.990000,Tone,67.0,67.0,FM,5.00,5.0W
4,SAT ISS =00,437.800000,split,145.990000,Tone,67.0,67.0,FM,5.00,5.0W
5,SAT ISS -05,437.795000,split,145.990000,Tone,67.0,67.0,FM,5.00,5.0W
6,SAT ISS -10,437.790000,split,145.990000,Tone,67.0,67.0,FM,5.00,5.0W
7,SAT SO50 +10,436.805000,split,145.850000,Tone,67.0,67.0,FM,5.00,5.0W
8,SAT SO50 +05,436.800000,split,145.850000,Tone,67.0,67.0,FM,5.00,5.0W
9,SAT SO50 Act,436.795000,split,145.850000,Tone,74.4,74.4,FM,5.00,5.0W
10,SAT SO50 =00,436.795000,split,145.850000,Tone,67.0,67.0,FM,5.00,5.0W
11,SAT SO50 -05,436.790000,split,145.850000,Tone,67.0,67.0,FM,5.00,5.0W
12,SAT SO50 -10,436.785000,split,145.850000,Tone,67.0,67.0,FM,5.00,5.0W
13,SAT AO91 +10,145.960000,split,435.260000,Tone,67.0,67.0,FM,5.00,5.0W
14,SAT AO91 +05,145.960000,split,435.255000,Tone,67.0,67.0,FM,5.00,5.0W
15,SAT AO91 =00,145.960000,split,435.250000,Tone,67.0,67.0,FM,5.00,5.0W
16,SAT AO91 -05,145.960000,split,435.245000,Tone,67.0,67.0,FM,5.00,5.0W
17,SAT AO91 -10,145.960000,split,435.240000,Tone,67.0,67.0,FM,5.00,5.0W
18,SAT CAS3H+10,437.210000,split,144.350000,,67.0,67.0,FM,5.00,5.0W
19,SAT CAS3H+05,437.205000,split,144.350000,,67.0,67.0,FM,5.00,5.0W
20,SAT CAS3H=00,437.200000,split,144.350000,,67.0,67.0,FM,5.00,5.0W
21,SAT CAS3H-05,437.195000,split,144.350000,,67.0,67.0,FM,5.00,5.0W
22,SAT CAS3H-10,437.190000,split,144.350000,,67.0,67.0,FM,5.00,5.0W
23,SAT PO101+10,145.900000,split,437.510000,Tone,141.3,141.3,FM,5.00,5.0W
24,SAT PO101+05,145.900000,split,437.505000,Tone,141.3,141.3,FM,5.00,5.0W
25,SAT PO101=00,145.900000,split,437.500000,Tone,141.3,141.3,FM,5.00,5.0W
26,SAT PO101-05,145.900000,split,437.495000,Tone,141.3,141.3,FM,5.00,5.0W
27,SAT PO101-10,145.900000,split,437.490000,Tone,141.3,141.3,FM,5.00,5.0W
28,SAT AO123+10,435.410000,split,145.850000,Tone,67.0,67.0,FM,5.00,5.0W
29,SAT AO123+05,435.405000,split,145.850000,Tone,67.0,67.0,FM,5.00,5.0W
30,SAT AO123=00,435.400000,split,145.850000,Tone,67.0,67.0,FM,5.00,5.0W
31,SAT AO123-05,435.395000,split,145.850000,Tone,67.0,67.0,FM,5.00,5.0W
32,SAT AO123-10,435.390000,split,145.850000,Tone,67.0,67.0,FM,5.00,5.0W
33,SAT SO125+10,436.675000,split,145.875000,,67.0,67.0,FM,5.00,5.0W
34,SAT SO125+05,436.670000,split,145.875000,,67.0,67.0,FM,5.00,5.0W
35,SAT SO125=00,436.665000,split,145.875000,,67.0,67.0,FM,5.00,5.0W
36,SAT SO125-05,436.660000,split,145.875000,,67.0,67.0,FM,5.00,5.0W
37,SAT SO125-10,436.655000,split,145.875000,,67.0,67.0,FM,5.00,5.0W
38,SAT TEVEL+10,436.410000,split,145.970000,,67.0,67.0,FM,5.00,5.0W
39,SAT TEVEL+05,436.405000,split,145.970000,,67.0,67.0,FM,5.00,5.0W
40,SAT TEVEL=00,436.400000,split,145.970000,,67.0,67.0,FM,5.00,5.0W
41,SAT TEVEL-05,436.395000,split,145.970000,,67.0,67.0,FM,5.00,5.0W
42,SAT TEVEL-10,436.390000,split,145.970000,,67.0,67.0,FM,5.00,5.0W
