Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,KNRM-KNBRD,156.000000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,50.00,,1.0W,Reddingsbrigade,,,,
1,MARCOM CH01,160.650000,-,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,50.00,,1.0W,Havenoperaties en scheepsbewegingen,,,,
2,MARCOM CH02,160.700000,-,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,50.00,,1.0W,Havenoperaties en scheepsbewegingen,,,,
3,MARCOM CH03,160.750000,-,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,50.00,,1.0W,Havenoperaties en scheepsbewegingen,,,,
4,MARCOM CH04,160.800000,-,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,50.00,,1.0W,Havenoperaties en scheepsbewegingen,,,,
5,MARCOM CH05,160.850000,-,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,50.00,,1.0W,Havenoperaties en scheepsbewegingen,,,,
6,MARCOM CH06,156.300000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,50.00,,1.0W,Nautisch intership verkeer,,,,
7,MARCOM CH07,160.950000,-,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,50.00,,1.0W,Havenoperaties en scheepsbewegingen,,,,
8,MARCOM CH08,156.400000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,50.00,,1.0W,Nautisch intership verkeer,,,,
9,MARCOM CH09,156.450000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,50.00,,1.0W,Loodswezen,,,,
10,MARCOM CH10,156.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,50.00,,1.0W,Nautisch intership verkeer / Aanroep binnenwateren,,,,
11,MARCOM CH11,156.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,50.00,,1.0W,Havenoperaties en scheepsbewegingen,,,,
12,MARCOM CH12,156.600000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,50.00,,1.0W,Havenoperaties en scheepsbewegingen,,,,
13,MARCOM CH13,156.650000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,50.00,,1.0W,Nautisch intership verkeer,,,,
14,MARCOM CH14,156.700000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,50.00,,1.0W,Havenoperaties en scheepsbewegingen,,,,
15,MARCOM CH15,156.750000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,50.00,,1.0W,Nautisch intership verkeer,,,,
16,MARCOM CH16,156.800000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,50.00,,25W,"Nood, spoed, veiligheid en aanroepkanaal",,,,
17,MARCOM CH17,156.850000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,50.00,,1.0W,Nautisch intership verkeer,,,,
18,MARCOM CH18,161.500000,-,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,50.00,,1.0W,Bruggen en sluizen,,,,
19,MARCOM CH19,161.550000,-,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,50.00,,1.0W,Nautische informatie,,,,
20,MARCOM CH20,161.600000,-,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,50.00,,1.0W,Bruggen en sluizen,,,,
21,MARCOM CH21,161.650000,-,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,50.00,,1.0W,Nautische informatie,,,,
22,MARCOM CH22,161.700000,-,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,50.00,,1.0W,Bruggen en sluizen,,,,
23,MARCOM CH23,161.750000,-,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,50.00,,1.0W,Kustwacht NL,,,,
24,MARCOM CH24,161.800000,-,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,50.00,,1.0W,Kustwacht Belgie,,,,
25,MARCOM CH25,161.850000,-,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,50.00,,1.0W,Nautisch intership verkeer,,,,
26,MARCOM CH26,161.900000,-,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,50.00,,1.0W,Nautische informatie,,,,
27,MARCOM CH27,161.950000,-,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,50.00,,1.0W,Nautisch intership verkeer,,,,
28,MARCOM CH28,162.000000,-,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,50.00,,1.0W,Nautische informatie,,,,
29,MARCOM CH29,162.050000,-,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,50.00,,1.0W,Scheepvaartbedrijven,,,,
30,MARCOM CH30,162.100000,-,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,50.00,,1.0W,Loodswezen,,,,
31,MARCOM CH31,162.150000,-,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,50.00,,1.0W,Jachthavens,,,,
32,MARCOM CH32,162.200000,-,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,50.00,,1.0W,Scheepvaartbedrijven,,,,
33,MARCOM CH33,162.250000,-,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,50.00,,1.0W,Rijlkswaterstaat,,,,
34,MARCOM CH34,162.300000,-,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,50.00,,1.0W,Scheepvaartbedrijven,,,,
35,MARCOM CH35,162.350000,-,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,50.00,,1.0W,Rijlkswaterstaat,,,,
36,MARCOM CH36,162.400000,-,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,50.00,,1.0W,Rijlkswaterstaat,,,,
37,MARCOM CH37,157.850000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,50.00,,1.0W,Rijkswaterstaat (Jachthavens Engeland/Ierland),,,,
