Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,MOTOROLA C01,446.006250,,0.000000,TSQL,88.5,67.0,023,NN,023,Tone->Tone,NFM,12.50,,0.5W,PMR446 Motorola CH01,,,,
1,MOTOROLA C02,446.018750,,0.000000,TSQL,88.5,67.0,023,NN,023,Tone->Tone,NFM,12.50,,0.5W,PMR446 Motorola CH02,,,,
2,MOTOROLA C03,446.031250,,0.000000,TSQL,88.5,67.0,023,NN,023,Tone->Tone,NFM,12.50,,0.5W,PMR446 Motorola CH03,,,,
3,MOTOROLA C04,446.043750,,0.000000,TSQL,88.5,67.0,023,NN,023,Tone->Tone,NFM,12.50,,0.5W,PMR446 Motorola CH04,,,,
4,MOTOROLA C05,446.056250,,0.000000,TSQL,88.5,67.0,023,NN,023,Tone->Tone,NFM,12.50,,0.5W,PMR446 Motorola CH05,,,,
5,MOTOROLA C06,446.068750,,0.000000,TSQL,88.5,67.0,023,NN,023,Tone->Tone,NFM,12.50,,0.5W,PMR446 Motorola CH06,,,,
6,MOTOROLA C07,446.081250,,0.000000,TSQL,88.5,67.0,023,NN,023,Tone->Tone,NFM,12.50,,0.5W,PMR446 Motorola CH07,,,,
7,MOTOROLA C08,446.093750,,0.000000,TSQL,88.5,67.0,023,NN,023,Tone->Tone,NFM,12.50,,0.5W,PMR446 Motorola CH08,,,,
8,MOTOROLA C09,446.006250,,0.000000,DTCS,88.5,88.5,754,NN,023,Tone->Tone,NFM,12.50,,0.5W,PMR446 Motorola CH09,,,,
9,MOTOROLA C10,446.018750,,0.000000,DTCS,88.5,88.5,754,NN,023,Tone->Tone,NFM,12.50,,0.5W,PMR446 Motorola CH10,,,,
10,MOTOROLA C11,446.031250,,0.000000,DTCS,88.5,88.5,754,NN,023,Tone->Tone,NFM,12.50,,0.5W,PMR446 Motorola CH11,,,,
11,MOTOROLA C12,446.043750,,0.000000,DTCS,88.5,88.5,754,NN,023,Tone->Tone,NFM,12.50,,0.5W,PMR446 Motorola CH12,,,,
12,MOTOROLA C13,446.056250,,0.000000,DTCS,88.5,88.5,754,NN,023,Tone->Tone,NFM,12.50,,0.5W,PMR446 Motorola CH13,,,,
13,MOTOROLA C14,446.068750,,0.000000,DTCS,88.5,88.5,754,NN,023,Tone->Tone,NFM,12.50,,0.5W,PMR446 Motorola CH14,,,,
14,MOTOROLA C15,446.081250,,0.000000,DTCS,88.5,88.5,754,NN,023,Tone->Tone,NFM,12.50,,0.5W,PMR446 Motorola CH15,,,,
15,MOTOROLA C16,446.093750,,0.000000,DTCS,88.5,88.5,754,NN,023,Tone->Tone,NFM,12.50,,0.5W,PMR446 Motorola CH16,,,,
