Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,PMR446 CH01,446.006250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,0.5W,PMR446 CH01,,,,
1,PMR446 CH02,446.018750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,0.5W,PMR446 CH02,,,,
2,PMR446 CH03,446.031250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,0.5W,PMR446 CH03,,,,
3,PMR446 CH04,446.043750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,0.5W,PMR446 CH04,,,,
4,PMR446 CH05,446.056250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,0.5W,PMR446 CH05,,,,
5,PMR446 CH06,446.068750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,0.5W,PMR446 CH06,,,,
6,PMR446 CH07,446.081250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,0.5W,PMR446 CH07,,,,
7,PMR446 CH08,446.093750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,0.5W,PMR446 CH08,,,,
8,PMR446 CH09,446.106250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,0.5W,PMR446 CH09,,,,
9,PMR446 CH10,446.118750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,0.5W,PMR446 CH10,,,,
10,PMR446 CH11,446.131250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,0.5W,PMR446 CH11,,,,
11,PMR446 CH12,446.143750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,0.5W,PMR446 CH12,,,,
12,PMR446 CH13,446.156250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,0.5W,PMR446 CH13,,,,
13,PMR446 CH14,446.168750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,0.5W,PMR446 CH14,,,,
14,PMR446 CH15,446.181250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,0.5W,PMR446 CH15,,,,
15,PMR446 CH16,446.193750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,0.5W,PMR446 CH16,,,,
